bin_mid,count
-29.25,868
-27.75,753
-26.25,1609
-24.75,913
-23.25,2330
-21.75,1845
-20.25,5770
-18.75,2712
-17.25,6539
-15.75,3903
-14.25,12471
-12.75,5963
-11.25,9175
-9.75,4646
-8.25,9454
-6.75,4837
-5.25,5844
-3.75,1917
-2.25,3281
-0.75,1462
0.75,2117
2.25,545
3.75,953
5.25,447
6.75,902
8.25,336
9.75,434
11.25,181
12.75,356
14.25,171
15.75,257
17.25,89
18.75,154
20.25,89
21.75,147
23.25,37
24.75,92
26.25,33
27.75,87
29.25,54
