customer_state,seller_state,n,median_freight,median_distance,median_delivery_days
MG,DF,108,16.0,620.3,8.0
MG,ES,52,33.0,389.5,10.0
MG,GO,100,17.6,661.6,9.0
MG,MA,32,25.0,1937.9,14.5
MG,MG,1709,14.2,241.4,7.0
MG,MS,4,26.4,1164.0,15.5
MG,MT,21,29.0,1372.8,12.0
MG,PA,1,18.5,780.9,14.0
MG,PB,2,34.4,1675.7,9.0
MG,PE,72,27.6,1660.8,10.0
MG,PI,2,39.7,1470.8,14.0
MG,PR,938,19.6,843.1,12.0
MG,RJ,622,16.8,339.8,10.0
MG,RN,1,18.3,560.0,3.0
MG,RS,219,22.8,1299.5,10.0
MG,SC,483,23.4,938.2,12.0
MG,SP,8703,17.6,488.9,10.0
MS,BA,2,57.1,2050.1,18.0
MS,CE,1,85.8,2521.7,12.0
MS,DF,8,18.7,873.5,12.5
MS,GO,9,22.3,704.5,14.0
MS,MA,3,30.1,2290.4,12.0
MS,MG,71,19.8,913.5,15.0
MS,MT,5,19.7,564.3,14.0
MS,PE,2,36.3,2417.3,13.5
MS,PR,66,19.3,637.6,12.0
MS,RJ,43,18.3,1196.5,14.0
MS,RS,17,24.1,1030.4,12.0
MS,SC,31,20.2,903.7,12.0
MS,SP,561,17.7,850.4,14.0
MT,BA,7,40.0,1941.5,17.0
MT,CE,3,38.0,2155.8,29.0
MT,DF,13,17.1,879.9,15.0
MT,ES,8,23.4,1737.2,15.0
MT,GO,10,18.6,774.8,14.5
MT,MA,4,24.1,1950.7,23.5
MT,MG,65,33.9,1265.7,19.5
MT,MS,2,32.7,765.4,12.0
MT,MT,7,13.8,412.1,11.0
MT,PB,1,51.5,1977.1,16.0
MT,PE,1,30.1,2439.4,20.0
MT,PR,72,27.5,1206.3,15.0
MT,RJ,32,26.0,1547.7,20.0
MT,RS,28,38.6,1723.7,13.5
MT,SC,30,36.2,1480.4,18.5
MT,SP,772,20.9,1331.1,15.0
PA,BA,11,35.1,1595.3,21.0
PA,CE,3,120.9,1202.7,19.0
PA,DF,11,23.1,1600.5,17.0
PA,ES,3,114.6,2234.9,26.0
PA,GO,10,28.4,1643.7,17.5
PA,MA,5,18.3,484.6,26.0
PA,MG,95,36.0,2101.6,23.5
PA,MT,3,38.6,1255.3,20.0
PA,PB,1,20.9,1710.6,19.0
PA,PE,7,36.1,1700.8,14.0
PA,PR,60,42.8,2516.1,22.0
PA,RJ,39,33.3,2415.2,19.0
PA,RN,1,26.3,1552.4,26.0
PA,RS,24,36.1,3155.0,21.0
PA,SC,21,56.4,2830.7,23.0
PA,SE,1,26.0,1607.7,15.0
PA,SP,785,26.1,2420.7,20.0
PB,BA,10,27.5,749.8,14.5
PB,CE,1,46.1,494.7,
PB,DF,8,34.2,1667.8,15.0
PB,GO,7,42.9,1842.8,25.0
PB,MA,4,20.1,1141.8,21.0
PB,MG,59,35.7,1743.0,17.0
PB,MT,2,40.4,2409.3,27.0
PB,PB,1,9.6,3.6,8.0
PB,PE,8,16.0,151.7,7.5
